lambda,B08,C08,D08,E08,F08
692,0.163478,0.157518,0.200521,0.225356,0.119826
694,0.164112,0.158243,0.201368,0.22601,0.120168
696,0.165061,0.158805,0.202177,0.227019,0.120924
698,0.165349,0.159224,0.202818,0.227445,0.121002
700,0.165996,0.160026,0.203546,0.228382,0.121646
702,0.166519,0.160546,0.204149,0.229058,0.122102
704,0.167401,0.161552,0.204947,0.229895,0.122615
706,0.168041,0.16211,0.205994,0.230904,0.123174
708,0.169026,0.162923,0.206693,0.231702,0.123687
710,0.169791,0.163726,0.207733,0.232755,0.124369
712,0.170478,0.164565,0.208542,0.233726,0.124965
714,0.171309,0.165477,0.209404,0.23466,0.125663
716,0.171908,0.166044,0.210252,0.23533,0.126018
718,0.172541,0.166772,0.211046,0.236152,0.126714
720,0.172995,0.167302,0.21152,0.236725,0.127038
722,0.173938,0.168378,0.21257,0.237776,0.127883
724,0.17451,0.168775,0.213225,0.238469,0.12829
726,0.175413,0.169754,0.214066,0.239477,0.128883
728,0.176458,0.170618,0.21504,0.240372,0.129731
730,0.177328,0.171498,0.216048,0.241356,0.130626
732,0.1782,0.172352,0.21699,0.242333,0.131252
734,0.179281,0.173371,0.21798,0.243287,0.132081
736,0.179539,0.173938,0.218356,0.243811,0.132534
738,0.180235,0.174611,0.219313,0.244535,0.133064
740,0.18085,0.175111,0.219813,0.245238,0.133628
742,0.18121,0.175534,0.2202,0.245522,0.133834
744,0.181555,0.175862,0.220534,0.245777,0.133992
746,0.181901,0.176315,0.220732,0.246009,0.134195
748,0.182158,0.176324,0.220943,0.246135,0.134376
750,0.182481,0.176648,0.221259,0.246462,0.134603
752,0.182676,0.176764,0.221197,0.246612,0.134794
754,0.182476,0.176892,0.22132,0.246429,0.134711
756,0.182774,0.176962,0.221394,0.246515,0.134915
758,0.182849,0.177213,0.221419,0.246688,0.134795
760,0.182892,0.176992,0.221205,0.246256,0.134713
762,0.182719,0.177165,0.22112,0.246266,0.134829
764,0.182515,0.177063,0.220744,0.245985,0.134648
766,0.182192,0.176919,0.220682,0.245688,0.134658
768,0.182002,0.176825,0.220291,0.24533,0.13454
770,0.18181,0.176344,0.219819,0.244798,0.134366
772,0.181604,0.176236,0.219254,0.244396,0.133927
774,0.181125,0.17585,0.219036,0.243666,0.133649
776,0.180764,0.175202,0.21833,0.243003,0.133041
778,0.179969,0.174685,0.217496,0.242168,0.132983
780,0.179385,0.174507,0.216914,0.241591,0.132696
782,0.178994,0.173946,0.216323,0.240858,0.132487
784,0.17831,0.17301,0.215385,0.239901,0.131466
786,0.177891,0.172651,0.214532,0.238934,0.131339
788,0.176985,0.17191,0.213729,0.238016,0.130574
790,0.176288,0.17142,0.21275,0.236993,0.130193
792,0.175733,0.170742,0.211705,0.236046,0.129665
794,0.174554,0.169455,0.210568,0.234693,0.128802
796,0.173941,0.169008,0.209911,0.233767,0.128493
798,0.172993,0.168117,0.208484,0.232571,0.128033
800,0.172241,0.167373,0.207623,0.231382,0.127478
